event,date,underlying,target_delta,target_dte,allocation,slippage_bps,contract_id,expiration,strike,delta,dte,bid,ask,open_interest,score,selected_quantity,portfolio_value,selection_date,selection_delta,selection_dte,selection_bid,selection_ask,fill_bid,fill_ask,fill_price,fill_quantity,fee,portfolio_value_before,quantity,quote_source,entry_date
ENTRY_FILL,2013-06-27,SPY,0.7,365,0.25,0,SPY140621C00148000,2014-06-21,148.0,,,,,,,177.0,,2013-06-26,0.7033,360.0,17.87,18.12,18.67,18.9,18.9,169.0,118.3,1291571.923608717,,,
EXIT_FILL,2013-12-26,SPY,0.7,365,0.25,0,SPY140621C00148000,,,,,36.42,36.66,,,,,,,,,,,,36.42,,118.3,2204526.4813247505,169.0,actual_bid,2013-06-27
ENTRY_SELECTION,2013-12-26,SPY,0.7,365,0.25,0,SPY141220C00172000,2014-12-20,172.0,0.69995,359.0,17.5,17.61,1087.0,0.00396427334053834,224.0,1587000.4813247505,,,,,,,,,,,,,,
ENTRY_FILL,2013-12-27,SPY,0.7,365,0.25,0,SPY141220C00172000,2014-12-20,172.0,,,,,,,224.0,,2013-12-26,0.69995,359.0,17.5,17.61,17.43,17.62,17.62,224.0,156.79999999999998,1587211.8100508486,,,
EXIT_FILL,2014-06-25,SPY,0.7,365,0.25,0,SPY141220C00172000,,,,,24.67,24.92,,,,,,,,,,,,24.67,,156.79999999999998,2299447.5676188366,224.0,actual_bid,2013-12-27
ENTRY_SELECTION,2014-06-25,SPY,0.7,365,0.25,0,SPY150619C00185000,2015-06-19,185.0,0.68189,359.0,16.58,16.74,7240.0,0.02235805538653814,259.0,1744039.5676188364,,,,,,,,,,,,,,
ENTRY_FILL,2014-06-26,SPY,0.7,365,0.25,0,SPY150619C00185000,2015-06-19,185.0,,,,,,,259.0,,2014-06-25,0.68189,359.0,16.58,16.74,16.47,16.62,16.62,259.0,181.29999999999998,1744039.5676188364,,,
EXIT_FILL,2014-12-23,SPY,0.7,365,0.25,0,SPY150619C00185000,,,,,25.83,26.32,,,,,,,,,,,,25.83,,181.29999999999998,2656699.9031743957,259.0,actual_bid,2014-06-26
ENTRY_SELECTION,2014-12-23,SPY,0.7,365,0.25,0,SPY151219C00193000,2015-12-19,193.0,0.70045,361.0,22.48,22.74,408.0,0.0037917144795914567,216.0,1981357.4031743957,,,,,,,,,,,,,,
ENTRY_FILL,2014-12-24,SPY,0.7,365,0.25,0,SPY151219C00193000,2015-12-19,193.0,,,,,,,216.0,,2014-12-23,0.70045,361.0,22.48,22.74,20.65,24.66,24.66,199.0,139.29999999999998,1981644.0849759826,,,
EXIT_FILL,2015-06-24,SPY,0.7,365,0.25,0,SPY151219C00193000,,,,,20.51,20.79,,,,,,,,,,,,20.51,,139.29999999999998,2308414.8604174727,199.0,actual_bid,2014-12-24
ENTRY_SELECTION,2015-06-24,SPY,0.7,365,0.25,0,SPY160617C00195000,2016-06-17,195.0,0.71451,359.0,22.03,22.54,2089.0,0.020086206121815477,209.0,1897479.8604174727,,,,,,,,,,,,,,
ENTRY_FILL,2015-06-25,SPY,0.7,365,0.25,0,SPY160617C00195000,2016-06-17,195.0,,,,,,,209.0,,2015-06-24,0.71451,359.0,22.03,22.54,21.59,22.07,22.07,209.0,146.29999999999998,1897805.4374219673,,,
EXIT_FILL,2015-12-22,SPY,0.7,365,0.25,0,SPY160617C00195000,,,,,15.15,15.25,,,,,,,,,,,,15.15,,146.29999999999998,2069630.137229841,209.0,actual_bid,2015-06-25
ENTRY_SELECTION,2015-12-22,SPY,0.7,365,0.25,0,SPY161216C00190000,2016-12-16,190.0,0.68863,360.0,22.3,22.53,9720.0,0.015135824622088307,193.0,1751950.137229841,,,,,,,,,,,,,,
ENTRY_FILL,2015-12-23,SPY,0.7,365,0.25,0,SPY161216C00190000,2016-12-16,190.0,,,,,,,193.0,,2015-12-22,0.68863,360.0,22.3,22.53,23.5,23.69,23.69,183.0,128.1,1751950.137229841,,,
EXIT_FILL,2016-06-21,SPY,0.7,365,0.25,0,SPY161216C00190000,,,,,22.43,22.59,,,,,,,,,,,,22.43,,128.1,2141432.3683082573,183.0,actual_bid,2015-12-23
ENTRY_SELECTION,2016-06-21,SPY,0.7,365,0.25,0,SPY170616C00195000,2017-06-16,195.0,0.69129,360.0,21.79,22.11,5159.0,0.01290758479732892,194.0,1729499.3683082573,,,,,,,,,,,,,,
ENTRY_FILL,2016-06-22,SPY,0.7,365,0.25,0,SPY170616C00195000,2017-06-16,195.0,,,,,,,194.0,,2016-06-21,0.69129,360.0,21.79,22.11,21.52,22.09,22.09,194.0,135.79999999999998,1729499.3683082573,,,
EXIT_FILL,2016-12-20,SPY,0.7,365,0.25,0,SPY170616C00195000,,,,,33.62,33.82,,,,,,,,,,,,33.62,,135.79999999999998,2607673.3492590515,194.0,actual_bid,2016-06-22
ENTRY_SELECTION,2016-12-20,SPY,0.7,365,0.25,0,SPY171215C00212000,2017-12-15,212.0,0.70235,360.0,22.86,23.1,154.0,0.006134112450373845,210.0,1953505.3492590517,,,,,,,,,,,,,,
ENTRY_FILL,2016-12-21,SPY,0.7,365,0.25,0,SPY171215C00212000,2017-12-15,212.0,,,,,,,210.0,,2016-12-20,0.70235,360.0,22.86,23.1,22.43,22.66,22.66,210.0,147.0,1953789.6863325476,,,
EXIT_FILL,2017-06-20,SPY,0.7,365,0.25,0,SPY171215C00212000,,,,,33.42,33.63,,,,,,,,,,,,33.42,,147.0,2886432.2397660166,210.0,actual_bid,2016-12-21
ENTRY_SELECTION,2017-06-20,SPY,0.7,365,0.25,0,SPY180615C00231000,2018-06-15,231.0,0.70527,360.0,21.08,21.31,691.0,0.009094887622112992,254.0,2182407.2397660166,,,,,,,,,,,,,,
ENTRY_FILL,2017-06-21,SPY,0.7,365,0.25,0,SPY180615C00231000,2018-06-15,231.0,,,,,,,254.0,,2017-06-20,0.70527,360.0,21.08,21.31,20.83,21.02,21.02,254.0,177.79999999999998,2182728.5333317965,,,
EXIT_FILL,2017-12-19,SPY,0.7,365,0.25,0,SPY180615C00231000,,,,,39.26,39.6,,,,,,,,,,,,39.26,,177.79999999999998,3654222.701276855,254.0,actual_bid,2017-06-21
ENTRY_SELECTION,2017-12-19,SPY,0.7,365,0.25,0,SPY181221C00254000,2018-12-21,254.0,0.701,367.0,24.15,24.52,680.0,0.00361633421617773,269.0,2652700.701276855,,,,,,,,,,,,,,
ENTRY_FILL,2017-12-20,SPY,0.7,365,0.25,0,SPY181221C00254000,2018-12-21,254.0,,,,,,,269.0,,2017-12-19,0.701,367.0,24.15,24.52,23.85,24.17,24.17,269.0,188.29999999999998,2652700.701276855,,,
EXIT_FILL,2018-06-21,SPY,0.7,365,0.25,0,SPY181221C00254000,,,,,26.54,26.76,,,,,,,,,,,,26.54,,188.29999999999998,3446776.168510467,269.0,actual_bid,2017-12-20
ENTRY_SELECTION,2018-06-21,SPY,0.7,365,0.25,0,SPY190621C00260000,2019-06-21,260.0,0.7104,365.0,27.49,27.8,2226.0,0.011521360101284222,244.0,2729891.168510467,,,,,,,,,,,,,,
ENTRY_FILL,2018-06-22,SPY,0.7,365,0.25,0,SPY190621C00260000,2019-06-21,260.0,,,,,,,244.0,,2018-06-21,0.7104,365.0,27.49,27.8,28.13,28.32,28.32,239.0,167.29999999999998,2730109.739804461,,,
EXIT_FILL,2018-12-24,SPY,0.7,365,0.25,0,SPY190621C00260000,,,,,4.43,5.0,,,,,,,,,,,,4.43,,167.29999999999998,2291797.8093405184,239.0,actual_bid,2018-06-22
ENTRY_SELECTION,2018-12-24,SPY,0.7,365,0.25,0,SPY191220C00220000,2019-12-20,220.0,0.70397,361.0,28.0,30.23,2011.0,0.013821062978881603,179.0,2179109.3093405184,,,,,,,,,,,,,,
ENTRY_FILL,2018-12-26,SPY,0.7,365,0.25,0,SPY191220C00220000,2019-12-20,220.0,,,,,,,179.0,,2018-12-24,0.70397,361.0,28.0,30.23,36.69,38.85,38.85,139.0,97.3,2178883.8403057423,,,
EXIT_FILL,2019-06-25,SPY,0.7,365,0.25,0,SPY191220C00220000,,,,,72.88,73.16,,,,,,,,,,,,72.88,,97.3,3685449.71089126,139.0,actual_bid,2018-12-26
ENTRY_SELECTION,2019-06-25,SPY,0.7,365,0.25,0,SPY200619C00280000,2020-06-19,280.0,0.69326,360.0,25.36,25.63,10560.0,0.010538757209982047,259.0,2670471.71089126,,,,,,,,,,,,,,
ENTRY_FILL,2019-06-26,SPY,0.7,365,0.25,0,SPY200619C00280000,2020-06-19,280.0,,,,,,,259.0,,2019-06-25,0.69326,360.0,25.36,25.63,25.11,25.35,25.35,259.0,181.29999999999998,2670833.096069103,,,
EXIT_FILL,2019-12-24,SPY,0.7,365,0.25,0,SPY200619C00280000,,,,,46.11,46.45,,,,,,,,,,,,46.11,,181.29999999999998,4424747.478326812,259.0,actual_bid,2019-06-26
ENTRY_SELECTION,2019-12-24,SPY,0.7,365,0.25,0,SPY201218C00304000,2020-12-18,304.0,0.69842,360.0,32.01,32.32,1113.0,0.005283506534159191,248.0,3226095.4783268124,,,,,,,,,,,,,,
ENTRY_FILL,2019-12-26,SPY,0.7,365,0.25,0,SPY201218C00304000,2020-12-18,304.0,,,,,,,248.0,,2019-12-24,0.69842,360.0,32.01,32.32,33.14,33.54,33.54,239.0,167.29999999999998,3226316.213579331,,,
EXIT_FILL,2020-06-23,SPY,0.7,365,0.25,0,SPY201218C00304000,,,,,8.050000000000011,,,,,,,,,,,,,8.050000000000011,,167.29999999999998,2818995.380495215,239.0,intrinsic_missing_quote,2019-12-26
ENTRY_SELECTION,2020-06-24,SPY,0.7,365,0.25,0,SPY210618C00275000,2021-06-18,275.0,0.69061,359.0,48.43,50.32,1236.0,0.016505519334142547,129.0,2626600.3804952144,,,,,,,,,,,,,,
ENTRY_FILL,2020-06-25,SPY,0.7,365,0.25,0,SPY210618C00275000,2021-06-18,275.0,,,,,,,129.0,,2020-06-24,0.69061,359.0,48.43,50.32,50.62,51.57,51.57,126.0,88.19999999999999,2626866.3035339955,,,
EXIT_FILL,2020-12-22,SPY,0.7,365,0.25,0,SPY210618C00275000,,,,,95.76,96.26,,,,,,,,,,,,95.76,,88.19999999999999,4392843.755330858,126.0,actual_bid,2020-06-25
ENTRY_SELECTION,2020-12-22,SPY,0.7,365,0.25,0,SPY211217C00335000,2021-12-17,335.0,0.69881,360.0,50.93,51.42,6239.0,0.004887224806097715,153.0,3183117.755330858,,,,,,,,,,,,,,
ENTRY_FILL,2020-12-23,SPY,0.7,365,0.25,0,SPY211217C00335000,2021-12-17,335.0,,,,,,,153.0,,2020-12-22,0.69881,360.0,50.93,51.42,50.65,51.13,51.13,153.0,107.1,3182903.319059897,,,
EXIT_FILL,2021-06-22,SPY,0.7,365,0.25,0,SPY211217C00335000,,,,,91.34,91.8,,,,,,,,,,,,91.34,,107.1,5197879.406701801,153.0,actual_bid,2020-12-23
ENTRY_SELECTION,2021-06-22,SPY,0.7,365,0.25,0,SPY220617C00390000,2022-06-17,390.0,0.69643,360.0,50.6,51.67,780.0,0.008402226271848185,182.0,3796858.406701801,,,,,,,,,,,,,,
ENTRY_FILL,2021-06-23,SPY,0.7,365,0.25,0,SPY220617C00390000,2022-06-17,390.0,,,,,,,182.0,,2021-06-22,0.69643,360.0,50.6,51.67,50.1,51.15,51.15,182.0,127.39999999999999,3796858.406701801,,,
EXIT_FILL,2021-12-21,SPY,0.7,365,0.25,0,SPY220617C00390000,,,,,81.54,82.52,,,,,,,,,,,,81.54,,127.39999999999999,5841090.446118864,182.0,actual_bid,2021-06-23
ENTRY_SELECTION,2021-12-21,SPY,0.7,365,0.25,0,SPY221216C00420000,2022-12-16,420.0,0.70294,360.0,66.17,67.7,14685.0,0.007965525683780374,159.0,4348144.446118864,,,,,,,,,,,,,,
ENTRY_FILL,2021-12-22,SPY,0.7,365,0.25,0,SPY221216C00420000,2022-12-16,420.0,,,,,,,159.0,,2021-12-21,0.70294,360.0,66.17,67.7,68.94,70.98,70.98,152.0,106.39999999999999,4348144.446118864,,,
EXIT_FILL,2022-06-22,SPY,0.7,365,0.25,0,SPY221216C00420000,,,,,7.97,8.04,,,,,,,,,,,,7.97,,106.39999999999999,3515531.67099945,152.0,actual_bid,2021-12-22
ENTRY_SELECTION,2022-06-22,SPY,0.7,365,0.25,0,SPY230616C00340000,2023-06-16,340.0,0.70658,359.0,60.6,62.93,472.0,0.013640034221624414,134.0,3393855.67099945,,,,,,,,,,,,,,
ENTRY_FILL,2022-06-23,SPY,0.7,365,0.25,0,SPY230616C00340000,2023-06-16,340.0,,,,,,,134.0,,2022-06-22,0.70658,359.0,60.6,62.93,62.14,64.7,64.7,130.0,91.0,3393855.67099945,,,
EXIT_FILL,2022-12-20,SPY,0.7,365,0.25,0,SPY230616C00340000,,,,,56.05,56.94,,,,,,,,,,,,56.05,,91.0,4045121.126241259,130.0,actual_bid,2022-06-23
ENTRY_SELECTION,2022-12-20,SPY,0.7,365,0.25,0,SPY231215C00360000,2023-12-15,360.0,0.70266,360.0,54.62,56.25,1069.0,0.00834010665335559,146.0,3310686.126241259,,,,,,,,,,,,,,
ENTRY_FILL,2022-12-21,SPY,0.7,365,0.25,0,SPY231215C00360000,2023-12-15,360.0,,,,,,,146.0,,2022-12-20,0.70266,360.0,54.62,56.25,57.94,59.82,59.82,137.0,95.89999999999999,3310968.8110203086,,,
EXIT_FILL,2023-06-21,SPY,0.7,365,0.25,0,SPY231215C00360000,,,,,85.94,86.82,,,,,,,,,,,,85.94,,95.89999999999999,4907047.4692078885,137.0,actual_bid,2022-12-21
ENTRY_SELECTION,2023-06-21,SPY,0.7,365,0.25,0,SPY240621C00425000,2024-06-21,425.0,0.69763,366.0,45.68,46.78,10679.0,0.005297352516749176,198.0,3723641.4692078885,,,,,,,,,,,,,,
ENTRY_FILL,2023-06-22,SPY,0.7,365,0.25,0,SPY240621C00425000,2024-06-21,425.0,,,,,,,198.0,,2023-06-21,0.69763,366.0,45.68,46.78,46.36,47.52,47.52,194.0,135.79999999999998,3724748.325133742,,,
EXIT_FILL,2023-12-22,SPY,0.7,365,0.25,0,SPY240621C00425000,,,,,62.78,63.53,,,,,,,,,,,,62.78,,135.79999999999998,5320319.272716705,194.0,actual_bid,2023-06-22
ENTRY_SELECTION,2023-12-22,SPY,0.7,365,0.25,0,SPY241220C00470000,2024-12-20,470.0,0.69183,364.0,41.45,42.66,6363.0,0.011595129844642449,238.0,4095112.2727167048,,,,,,,,,,,,,,
ENTRY_FILL,2023-12-26,SPY,0.7,365,0.25,0,SPY241220C00470000,2024-12-20,470.0,,,,,,,238.0,,2023-12-22,0.69183,364.0,41.45,42.66,43.0,44.0,44.0,231.0,161.7,4095740.6665064967,,,
EXIT_FILL,2024-06-25,SPY,0.7,365,0.25,0,SPY241220C00470000,,,,,89.7,90.96,,,,,,,,,,,,89.7,,161.7,7317513.505389173,231.0,actual_bid,2023-12-26
ENTRY_SELECTION,2024-06-25,SPY,0.7,365,0.25,0,SPY250620C00535000,2025-06-20,535.0,0.70738,360.0,52.23,53.93,1638.0,0.013322438913606814,241.0,5230890.505389173,,,,,,,,,,,,,,
ENTRY_FILL,2024-06-26,SPY,0.7,365,0.25,0,SPY250620C00535000,2025-06-20,535.0,,,,,,,241.0,,2024-06-25,0.70738,360.0,52.23,53.93,52.18,54.21,54.21,240.0,168.0,5231235.118062604,,,
EXIT_FILL,2024-12-24,SPY,0.7,365,0.25,0,SPY250620C00535000,,,,,82.93,86.41,,,,,,,,,,,,82.93,,168.0,8050178.838273317,240.0,actual_bid,2024-06-26
ENTRY_SELECTION,2024-12-24,SPY,0.7,365,0.25,0,SPY251219C00585000,2025-12-19,585.0,0.69792,360.0,61.2,62.3,3926.0,0.006601102545615845,240.0,6018098.838273317,,,,,,,,,,,,,,
ENTRY_FILL,2024-12-26,SPY,0.7,365,0.25,0,SPY251219C00585000,2025-12-19,585.0,,,,,,,240.0,,2024-12-24,0.69792,360.0,61.2,62.3,60.85,61.71,61.71,240.0,168.0,6018979.276326557,,,
EXIT_FILL,2025-06-24,SPY,0.7,365,0.25,0,SPY251219C00585000,,,,,48.85,50.12,,,,,,,,,,,,48.85,,168.0,6989977.309753888,240.0,actual_bid,2024-12-26
ENTRY_SELECTION,2025-06-24,SPY,0.7,365,0.25,0,SPY260618C00590000,2026-06-18,590.0,0.69193,359.0,62.1,64.68,1063.0,0.015427713826345633,223.0,5802337.309753888,,,,,,,,,,,,,,
ENTRY_FILL,2025-06-25,SPY,0.7,365,0.25,0,SPY260618C00590000,2026-06-18,590.0,,,,,,,223.0,,2025-06-24,0.69193,359.0,62.1,64.68,62.23,64.44,64.44,223.0,156.1,5802839.6000191895,,,
ENTRY_SELECTION,2012-01-03,SPY,0.7,365,0.25,5,SPY121222C00116000,2012-12-22,116.0,0.69912,354.0,18.19,18.44,884.0,0.00827239862527533,134.0,1000000.0,,,,,,,,,,,,,,
ENTRY_FILL,2012-01-04,SPY,0.7,365,0.25,5,SPY121222C00116000,2012-12-22,116.0,,,,,,,134.0,,2012-01-03,0.69912,354.0,18.19,18.44,18.07,18.28,18.28914,134.0,93.8,1000000.0,,,
EXIT_FILL,2012-06-27,SPY,0.7,365,0.25,5,SPY121222C00116000,,,,,19.54,19.74,,,,,,,,,,,,19.53023,,93.8,1279619.0059999996,134.0,actual_bid,2012-01-04
ENTRY_SELECTION,2012-06-27,SPY,0.7,365,0.25,5,SPY130622C00126000,2013-06-22,126.0,0.64682,360.0,14.7,15.0,202.0,0.057939928047599294,168.0,1016443.0059999997,,,,,,,,,,,,,,
ENTRY_FILL,2012-06-28,SPY,0.7,365,0.25,5,SPY130622C00126000,2013-06-22,126.0,,,,,,,168.0,,2012-06-27,0.64682,360.0,14.7,15.0,14.4,14.75,14.757375,168.0,117.6,1016606.5557588106,,,
EXIT_FILL,2012-12-27,SPY,0.7,365,0.25,5,SPY130622C00126000,,,,,17.59,17.86,,,,,,,,,,,,17.581205,,117.6,1361259.0122773133,168.0,actual_bid,2012-06-28
ENTRY_SELECTION,2012-12-27,SPY,0.7,365,0.25,5,SPY131221C00131000,2013-12-21,131.0,0.70246,359.0,16.06,16.35,306.0,0.007537242352901432,161.0,1063479.0122773133,,,,,,,,,,,,,,
ENTRY_FILL,2012-12-28,SPY,0.7,365,0.25,5,SPY131221C00131000,2013-12-21,131.0,,,,,,,161.0,,2012-12-27,0.70246,359.0,16.06,16.35,13.99,15.98,15.98799,161.0,112.69999999999999,1063645.470250872,,,
EXIT_FILL,2013-06-26,SPY,0.7,365,0.25,5,SPY131221C00131000,,,,,30.14,30.34,,,,,,,,,,,,30.124930000000003,,112.69999999999999,1777714.6062017796,161.0,actual_bid,2012-12-28
ENTRY_SELECTION,2013-06-26,SPY,0.7,365,0.25,5,SPY140621C00148000,2014-06-21,148.0,0.7033,360.0,17.87,18.12,139.0,0.0074290008259524955,177.0,1290850.6062017796,,,,,,,,,,,,,,
ENTRY_FILL,2013-06-27,SPY,0.7,365,0.25,5,SPY140621C00148000,2014-06-21,148.0,,,,,,,177.0,,2013-06-26,0.7033,360.0,17.87,18.12,18.67,18.9,18.909449999999996,169.0,118.3,1290675.8212979492,,,
EXIT_FILL,2013-12-26,SPY,0.7,365,0.25,5,SPY140621C00148000,,,,,36.42,36.66,,,,,,,,,,,,36.401790000000005,,118.3,2203163.2183851395,169.0,actual_bid,2013-06-27
ENTRY_SELECTION,2013-12-26,SPY,0.7,365,0.25,5,SPY141220C00172000,2014-12-20,172.0,0.69995,359.0,17.5,17.61,1087.0,0.00396427334053834,223.0,1585637.2183851392,,,,,,,,,,,,,,
ENTRY_FILL,2013-12-27,SPY,0.7,365,0.25,5,SPY141220C00172000,2014-12-20,172.0,,,,,,,223.0,,2013-12-26,0.69995,359.0,17.5,17.61,17.43,17.62,17.62881,223.0,156.1,1585848.4004897787,,,
EXIT_FILL,2014-06-25,SPY,0.7,365,0.25,5,SPY141220C00172000,,,,,24.67,24.92,,,,,,,,,,,,24.657665,,156.1,2294430.1934089684,223.0,actual_bid,2013-12-27
ENTRY_SELECTION,2014-06-25,SPY,0.7,365,0.25,5,SPY150619C00185000,2015-06-19,185.0,0.68189,359.0,16.58,16.74,7240.0,0.02235805538653814,258.0,1741501.6934089684,,,,,,,,,,,,,,
ENTRY_FILL,2014-06-26,SPY,0.7,365,0.25,5,SPY150619C00185000,2015-06-19,185.0,,,,,,,258.0,,2014-06-25,0.68189,359.0,16.58,16.74,16.47,16.62,16.62831,258.0,180.6,1741501.6934089684,,,
EXIT_FILL,2014-12-23,SPY,0.7,365,0.25,5,SPY150619C00185000,,,,,25.83,26.32,,,,,,,,,,,,25.817085,,180.6,2650088.5733218286,258.0,actual_bid,2014-06-26
ENTRY_SELECTION,2014-12-23,SPY,0.7,365,0.25,5,SPY151219C00193000,2015-12-19,193.0,0.70045,361.0,22.48,22.74,408.0,0.0037917144795914567,216.0,1977353.5733218284,,,,,,,,,,,,,,
ENTRY_FILL,2014-12-24,SPY,0.7,365,0.25,5,SPY151219C00193000,2015-12-19,193.0,,,,,,,216.0,,2014-12-23,0.70045,361.0,22.48,22.74,20.65,24.66,24.67233,199.0,139.29999999999998,1977639.8379526332,,,
EXIT_FILL,2015-06-24,SPY,0.7,365,0.25,5,SPY151219C00193000,,,,,20.51,20.79,,,,,,,,,,,,20.499745000000004,,139.29999999999998,2303963.8000260144,199.0,actual_bid,2014-12-24
ENTRY_SELECTION,2015-06-24,SPY,0.7,365,0.25,5,SPY160617C00195000,2016-06-17,195.0,0.71451,359.0,22.03,22.54,2089.0,0.020086206121815477,208.0,1893028.8000260144,,,,,,,,,,,,,,
ENTRY_FILL,2015-06-25,SPY,0.7,365,0.25,5,SPY160617C00195000,2016-06-17,195.0,,,,,,,208.0,,2015-06-24,0.71451,359.0,22.03,22.54,21.59,22.07,22.081035,208.0,145.6,1893353.719147107,,,
EXIT_FILL,2015-12-22,SPY,0.7,365,0.25,5,SPY160617C00195000,,,,,15.15,15.25,,,,,,,,,,,,15.142425000000001,,145.6,2063966.9234989816,208.0,actual_bid,2015-06-25
ENTRY_SELECTION,2015-12-22,SPY,0.7,365,0.25,5,SPY161216C00190000,2016-12-16,190.0,0.68863,360.0,22.3,22.53,9720.0,0.015135824622088307,192.0,1747806.9234989816,,,,,,,,,,,,,,
ENTRY_FILL,2015-12-23,SPY,0.7,365,0.25,5,SPY161216C00190000,2016-12-16,190.0,,,,,,,192.0,,2015-12-22,0.68863,360.0,22.3,22.53,23.5,23.69,23.701845,183.0,128.1,1747806.9234989816,,,
EXIT_FILL,2016-06-21,SPY,0.7,365,0.25,5,SPY161216C00190000,,,,,22.43,22.59,,,,,,,,,,,,22.418785,,128.1,2136865.1146360077,183.0,actual_bid,2015-12-23
ENTRY_SELECTION,2016-06-21,SPY,0.7,365,0.25,5,SPY170616C00195000,2017-06-16,195.0,0.69129,360.0,21.79,22.11,5159.0,0.01290758479732892,194.0,1724932.1146360075,,,,,,,,,,,,,,
ENTRY_FILL,2016-06-22,SPY,0.7,365,0.25,5,SPY170616C00195000,2017-06-16,195.0,,,,,,,194.0,,2016-06-21,0.69129,360.0,21.79,22.11,21.52,22.09,22.101045,194.0,135.79999999999998,1724932.1146360075,,,
EXIT_FILL,2016-12-20,SPY,0.7,365,0.25,5,SPY170616C00195000,,,,,33.62,33.82,,,,,,,,,,,,33.60319,,135.79999999999998,2602564.1357794735,194.0,actual_bid,2016-06-22
ENTRY_SELECTION,2016-12-20,SPY,0.7,365,0.25,5,SPY171215C00212000,2017-12-15,212.0,0.70235,360.0,22.86,23.1,154.0,0.006134112450373845,209.0,1948396.1357794735,,,,,,,,,,,,,,
ENTRY_FILL,2016-12-21,SPY,0.7,365,0.25,5,SPY171215C00212000,2017-12-15,212.0,,,,,,,209.0,,2016-12-20,0.70235,360.0,22.86,23.1,22.43,22.66,22.671329999999998,209.0,146.29999999999998,1948679.7219769836,,,
EXIT_FILL,2017-06-20,SPY,0.7,365,0.25,5,SPY171215C00212000,,,,,33.42,33.63,,,,,,,,,,,,33.403290000000005,,146.29999999999998,2876301.4198831427,209.0,actual_bid,2016-12-21
ENTRY_SELECTION,2017-06-20,SPY,0.7,365,0.25,5,SPY180615C00231000,2018-06-15,231.0,0.70527,360.0,21.08,21.31,691.0,0.009094887622112992,253.0,2175628.9198831427,,,,,,,,,,,,,,
ENTRY_FILL,2017-06-21,SPY,0.7,365,0.25,5,SPY180615C00231000,2018-06-15,231.0,,,,,,,253.0,,2017-06-20,0.70527,360.0,21.08,21.31,20.83,21.02,21.03051,253.0,177.1,2175949.3731339793,,,
EXIT_FILL,2017-12-19,SPY,0.7,365,0.25,5,SPY180615C00231000,,,,,39.26,39.6,,,,,,,,,,,,39.24037,,177.1,3640893.5596791087,253.0,actual_bid,2017-06-21
ENTRY_SELECTION,2017-12-19,SPY,0.7,365,0.25,5,SPY181221C00254000,2018-12-21,254.0,0.701,367.0,24.15,24.52,680.0,0.00361633421617773,268.0,2643314.5596791087,,,,,,,,,,,,,,
ENTRY_FILL,2017-12-20,SPY,0.7,365,0.25,5,SPY181221C00254000,2018-12-21,254.0,,,,,,,268.0,,2017-12-19,0.701,367.0,24.15,24.52,23.85,24.17,24.182085,268.0,187.6,2643314.5596791087,,,
