local_experiment_id,underlying,target_delta,target_dte,allocation,slippage_bps,execution_proxy,evidence_label,start,end,days,terminal_value,total_return,cagr,ann_vol,sharpe_0rf,max_drawdown,entries,rolls,resized_entries,rejected_entries,no_candidate_days
LEOD019,QQQ,0.7,730,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,6463350.440030609,5.463350440030609,0.143141613641097,0.23549022568304165,0.6863997727193827,-0.3135758911540506,28,27,16,0,0
LEOD020,QQQ,0.7,730,0.25,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,6392035.167270428,5.392035167270428,0.14223273634105138,0.23549889611800856,0.6829867299592607,-0.3135644840740349,28,27,18,0,0
LEOD021,QQQ,0.7,730,0.25,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,6346777.83478135,5.346777834781349,0.14165105940046274,0.2354231151142226,0.6809685446443114,-0.31438832745230405,28,27,16,0,0
LEOD022,QQQ,0.7,730,0.5,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,24473931.243078634,23.473931243078635,0.2576311775057063,0.5179407493127502,0.6901747042503982,-0.5520493224427959,28,27,17,0,0
LEOD023,QQQ,0.7,730,0.5,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,24133254.65608171,23.13325465608171,0.25636801259244546,0.5180875948498984,0.6881547438613976,-0.5524894805535256,28,27,17,0,0
LEOD024,QQQ,0.7,730,0.5,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,23784032.902647905,22.784032902647905,0.25505586475920317,0.5180924103946066,0.6861352381942164,-0.5526211891933306,28,27,18,0,0
LEOD025,QQQ,0.7,730,1.0,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,158541583.49999997,157.54158349999997,0.4378835315749834,15.237815709671393,0.34391160436365187,-0.9878148204634957,28,27,17,0,0
LEOD026,QQQ,0.7,730,1.0,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,154352169.8250001,153.35216982500012,0.43512571590993465,15.225671474415877,0.344035026326887,-0.9878170169584273,28,27,18,0,0
LEOD027,QQQ,0.7,730,1.0,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,150411041.91100013,149.41104191100013,0.4324671611842448,15.218356683837479,0.3441338528127645,-0.9878230334435643,28,27,18,0,0
LEOD028,QQQ,0.8,365,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,9584441.762528695,8.584441762528694,0.17588944760963932,0.2069292036853705,0.888293158150045,-0.30014488023028496,29,28,16,0,0
LEOD029,QQQ,0.8,365,0.25,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,9523905.003327874,8.523905003327874,0.1753554474326513,0.20696390895888547,0.8859793972368516,-0.30030518986462373,29,28,16,0,0
LEOD030,QQQ,0.8,365,0.25,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,9445147.802942142,8.445147802942142,0.17465598705420748,0.20689243844867777,0.883329252698716,-0.30080493518226914,29,28,16,0,0
LEOD031,QQQ,0.8,365,0.5,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,47608303.78984369,46.608303789843696,0.3190753343795443,0.42222917830632817,0.8675665775836829,-0.5551974002665097,29,28,16,0,0
LEOD032,QQQ,0.8,365,0.5,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,46965465.9222753,45.9654659222753,0.31779042806576174,0.4222227219550971,0.8652591728205687,-0.5556957487164498,29,28,16,0,0
