strategy,cagr,max_drawdown,max_underwater_years,terminal,vol
MKT_1x,0.09823892133778167,-0.8407399476860208,18.3015873015873,17647.452024478367,0.17100667841869363
LETF_1p5_BH,0.10832780949721665,-0.9483671602251647,24.123015873015873,45824.14750219868,0.25651662864161107
LETF_2x_BH,0.12034864129610812,-0.9843414460169012,25.58730158730159,141242.82506668242,0.3420284183008266
LETF_3x_BH,0.1189365691540607,-0.9989338717549183,29.53968253968254,123825.99374438277,0.5130538369277723
LETF_S9_35_12,0.1902629285731512,-0.7302630532102772,10.777777777777779,78212714.48617731,0.27205023206069057
LETF_S9_35_0,0.20469734765830316,-0.5798151807866012,7.853174603174603,275137843.4477338,0.26221884930514844
FUT_VOL25,0.15598247995840775,-0.852234336515956,16.845238095238095,3706066.284627806,0.26344510138231303
FUT_35_12,0.2049253908029265,-0.7237903351233705,7.583333333333333,280626086.7900394,0.2720630908395457
FUT_35_0,0.21754466127896177,-0.5760696505553673,7.773809523809524,832303163.0628754,0.2622327696955592
FUT_40_0,0.2237620179482911,-0.6199009299864973,7.301587301587301,1416149814.5529969,0.27617392386885076
FUT_2x_200DMA,0.17729603208491995,-0.5955710046550322,9.932539682539682,24938164.18566579,0.22423285860798767
DIP_CONF_1p5_PROXY,0.10239553636782661,-0.8595599887550396,17.61904761904762,26174.530415717996,0.18821316637276375
DIP_BLIND_2x_PROXY,0.08402123556343155,-0.9723159795058719,28.261904761904763,4530.702786368056,0.2578771680519605
