strategy,crisis,start,end,cagr,max_drawdown,max_underwater_years,terminal,vol
MKT_1x,Great_Depression_1929_1939,1929-08-01,1939-12-31,-0.028272205197180877,-0.8407399476860213,12.218253968253968,0.7022351491475837,0.2868013891541968
MKT_1x,Stagflation_1966_1982,1966-01-01,1982-12-31,0.07464299970039545,-0.48159482400007925,3.9642857142857144,3.380728940202166,0.13015271561434
MKT_1x,Crash_1987,1987-08-01,1989-07-31,0.0766124975843383,-0.33114245552627086,1.7222222222222223,1.159434058640713,0.21775186554997653
MKT_1x,Dotcom_2000_2007,2000-03-01,2007-06-30,0.027062578355316225,-0.4922560493880209,6.559523809523809,1.2156649014955867,0.17908210937301058
MKT_1x,GFC_2007_2013,2007-10-01,2013-03-31,0.03483811540423143,-0.5456553593385385,4.380952380952381,1.2067609201418248,0.255087761573379
MKT_1x,COVID_2020,2020-02-01,2020-08-31,0.21115419576127104,-0.34216280934892906,0.4603174603174603,1.1182348049742281,0.42765514793783316
MKT_1x,Inflation_2022_2024,2022-01-01,2024-07-31,0.06579470130445242,-0.2544907238944222,1.9484126984126984,1.1777436161519925,0.18765859998209056
LETF_1p5_BH,Great_Depression_1929_1939,1929-08-01,1939-12-31,-0.08387265975399649,-0.9483671602251647,12.218253968253968,0.3396961945696792,0.43021371159926064
LETF_1p5_BH,Stagflation_1966_1982,1966-01-01,1982-12-31,0.05738648540116209,-0.6634055456986988,6.595238095238095,2.570694845028509,0.19525805129896392
LETF_1p5_BH,Crash_1987,1987-08-01,1989-07-31,0.04755879590538892,-0.4743432909887185,1.9325396825396826,1.0975817788689732,0.3266380842146334
LETF_1p5_BH,Dotcom_2000_2007,2000-03-01,2007-06-30,0.0011753798028368845,-0.683718520024822,7.242063492063492,1.0086280922158841,0.2686365445416312
LETF_1p5_BH,GFC_2007_2013,2007-10-01,2013-03-31,0.012789579003462892,-0.7240313965422063,5.396825396825397,1.072235118299483,0.38264314067856525
LETF_1p5_BH,COVID_2020,2020-02-01,2020-08-31,0.2234178858340643,-0.4808381319650722,0.5119047619047619,1.1248259182755533,0.6415295027328926
LETF_1p5_BH,Inflation_2022_2024,2022-01-01,2024-07-31,0.05427746667581901,-0.3761344652721458,2.107142857142857,1.1453437685924601,0.2814485189511521
LETF_2x_BH,Great_Depression_1929_1939,1929-08-01,1939-12-31,-0.1461464843066993,-0.9843414460169011,12.218253968253968,0.14265034228035342,0.5736261742196739
LETF_2x_BH,Stagflation_1966_1982,1966-01-01,1982-12-31,0.04548427653937814,-0.7809179222516632,7.091269841269841,2.1225819221612086,0.2603656581140208
LETF_2x_BH,Crash_1987,1987-08-01,1989-07-31,0.01304608629511339,-0.5950646333850669,1.9365079365079365,1.026315160524118,0.43552469750705747
LETF_2x_BH,Dotcom_2000_2007,2000-03-01,2007-06-30,-0.022998899710527487,-0.8056236059249056,7.242063492063492,0.8435242045271127,0.35819178657513984
LETF_2x_BH,GFC_2007_2013,2007-10-01,2013-03-31,-0.016166960814948284,-0.8385914580747725,5.4603174603174605,0.9144332000342664,0.5101986755054914
LETF_2x_BH,COVID_2020,2020-02-01,2020-08-31,0.18732575852147182,-0.5973285354987082,0.5357142857142857,1.1053481847105153,0.8554039552478235
LETF_2x_BH,Inflation_2022_2024,2022-01-01,2024-07-31,0.04315153226112134,-0.481066915842142,2.1984126984126986,1.1145671075094117,0.37523920759144214
