strategy,cagr,max_drawdown,max_recovery_years,terminal
1x_buy_hold,0.09801374692766629,-0.8409004593358141,18.321428571428573,17133.42640460582
1.5x_buy_hold,0.10848953689619267,-0.9483671602251647,24.123015873015873,46110.69039256866
2x_buy_hold,0.1205656264243633,-0.9843414460169012,25.58730158730159,142700.8877561491
2.5x_buy_hold,0.1242362991637529,-0.9957003069679654,28.503968253968253,200683.01841730135
3x_buy_hold,0.11924864961179726,-0.9989338717549183,29.53968253968254,126234.5765972531
3x_200SMA_cash,0.21932252639736793,-0.7789446902284686,13.53968253968254,952552640.9777921
S9_fixed_200_35_12,0.19109083988551356,-0.7302630532102772,10.777777777777779,82824407.19746156
S9_modal_sma225_bull0.40_bear0.00,0.21581267087241773,-0.6733293806156505,7.412698412698413,705277715.3179764
OOS_walk_forward,0.2105006740909665,-0.4590643776244693,3.9206349206349205,4885301.637983158
OOS_fixed,0.19383970348559298,-0.6337335620215121,10.777777777777779,1598159.2015830884
OOS_1x,0.11040707996830212,-0.5458478134616569,6.563492063492063,4644.232157347533
