start,end,observations,terminal_value,total_return,cagr,ann_vol_daily,sharpe_0rf_daily,max_drawdown_daily,model,top_n,stale_price_events,removed_position_events,mean_turnover,evidence_label,experiment_id,train_start,train_end,train_observations,train_terminal_value,train_total_return,train_cagr,train_ann_vol_daily,train_sharpe_0rf_daily,train_max_drawdown_daily,validation_start,validation_end,validation_observations,validation_terminal_value,validation_total_return,validation_cagr,validation_ann_vol_daily,validation_sharpe_0rf_daily,validation_max_drawdown_daily
2009-01-01,2019-12-31,2769,25355449.106160045,1.5355449106160046,0.0883257763985068,0.22219586547934844,0.4927367844712064,-0.3798611016352922,momentum,10,0,9,1.3424605803331306,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,momentum:10,2008-12-31,2014-12-31,1511,20614598.41345252,1.0614598413452523,0.12823182096022134,0.24356664754672952,0.6179175207604404,-0.28761081706476643,2014-12-31,2019-12-31,1259,25355449.106160045,0.22997540857326504,0.04229727004724548,0.1935030449149602,0.3113491372581157,-0.3798611016352922
2009-01-01,2019-12-31,2769,20734226.840144046,1.0734226840144045,0.06858610624288808,0.20399712865690733,0.4277513307936919,-0.2962330728724779,momentum,20,3,16,1.2682915976232636,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,momentum:20,2008-12-31,2014-12-31,1511,18148605.233155325,0.8148605233155326,0.10451111499259724,0.2270222967179138,0.5519984293214331,-0.2723218236677991,2014-12-31,2019-12-31,1259,20734226.840144046,0.14246943904345333,0.02701513130547295,0.17239157094046617,0.24120003692052341,-0.2962330728724779
2009-01-01,2019-12-31,2769,22871284.311934445,1.2871284311934446,0.07816480106553736,0.19269194361949643,0.48752739137722567,-0.2908253144916856,momentum,40,7,22,1.146162528755559,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,momentum:40,2008-12-31,2014-12-31,1511,17824521.65825741,0.7824521658257411,0.10119687174747294,0.21695045375351324,0.5534285929784184,-0.2613472754630406,2014-12-31,2019-12-31,1259,22871284.311934445,0.2831359376950835,0.05116130551849052,0.15881764762064599,0.39407153128887007,-0.2908253144916856
2009-01-01,2019-12-31,2769,19959322.463756613,0.9959322463756612,0.06488980779777465,0.17738785001807364,0.4437218113948102,-0.34498566670466735,quality_momentum,10,3,4,1.3650710115598808,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,quality_momentum:10,2008-12-31,2014-12-31,1511,16666214.002249384,0.6666214002249384,0.08892545356623116,0.1682105623795943,0.59128980883572,-0.2586801939341622,2014-12-31,2019-12-31,1259,19959322.463756613,0.197591874259071,0.036746303008822645,0.18786821773364015,0.28639149892083543,-0.34498566670466735
2009-01-01,2019-12-31,2769,25811354.067408826,1.5811354067408825,0.09009158324795385,0.16054021608022281,0.6183350910411713,-0.280279462236139,quality_momentum,20,4,6,1.161473896293046,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,quality_momentum:20,2008-12-31,2014-12-31,1511,17848882.059453875,0.7848882059453874,0.10144773121287831,0.15361435653404826,0.7065926092640966,-0.2177292738505442,2014-12-31,2019-12-31,1259,25811354.067408826,0.4461048026107346,0.07661865034820048,0.16853708628940256,0.5229386483932652,-0.280279462236139
2009-01-01,2019-12-31,2769,30040323.471424133,2.004032347142413,0.10524214321565739,0.14640644736007177,0.7575118077163355,-0.24347509643761156,quality_momentum,40,4,12,0.9165136271060959,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,quality_momentum:40,2008-12-31,2014-12-31,1511,19651196.376158167,0.9651196376158167,0.11926173848298594,0.14235965350784552,0.8634745129899828,-0.20167340170480197,2014-12-31,2019-12-31,1259,30040323.471424133,0.5286765699349778,0.08865023473328004,0.15117286465374286,0.6381939459931179,-0.24347509643761156
2009-01-01,2019-12-31,2769,33046672.499351386,2.3046672499351386,0.1148739164965058,0.1453388047601599,0.8217024925262867,-0.20585138561407568,bottleneck_core,10,0,0,1.744073031151462,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,bottleneck_core:10,2008-12-31,2014-12-31,1511,19678643.02953966,0.967864302953966,0.11952230919918727,0.13981199210276293,0.878247938380425,-0.18308016814587413,2014-12-31,2019-12-31,1259,33046672.499351386,0.6793166302038685,0.10932131510798815,0.15176289511278462,0.760310914429433,-0.20585138561407568
2009-01-01,2019-12-31,2769,35884948.35509492,2.5884948355094917,0.12326215664771523,0.14220141964350475,0.8894589475629393,-0.19887142075050113,bottleneck_core,20,0,2,1.4762221626440823,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,bottleneck_core:20,2008-12-31,2014-12-31,1511,21725638.390181914,1.1725638390181916,0.1381527663370472,0.13797220937746402,1.0078464024297227,-0.19887142075050113,2014-12-31,2019-12-31,1259,35884948.35509492,0.6517327459206801,0.10565035712578164,0.14716702802483936,0.7569043500400071,-0.1864270760406348
2009-01-01,2019-12-31,2769,35281229.41493277,2.5281229414932773,0.12152974038086284,0.14115826963044426,0.8840511031559479,-0.20669981767028767,bottleneck_core,40,0,7,0.9269361036209961,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,bottleneck_core:40,2008-12-31,2014-12-31,1511,21717978.99414444,1.171797899414444,0.13808583454644197,0.14096090036354478,0.9890716245019775,-0.20669981767028767,2014-12-31,2019-12-31,1259,35281229.41493277,0.6245171534812346,0.10198003584339399,0.14144295183409064,0.7581240897222217,-0.1771768351013261
2009-01-01,2019-12-31,2769,25580937.51253585,1.558093751253585,0.08920271142694958,0.16942822187669415,0.5898203490110707,-0.3176466327953317,bottleneck_momentum,10,0,2,1.5182863170334204,FREE_DISCOVERY_LARGE_CAP_EOD_PROXY,bottleneck_momentum:10,2008-12-31,2014-12-31,1511,16993570.219523713,0.6993570219523713,0.09246381228586564,0.16476959522616336,0.6197981102022462,-0.2705334943273685,2014-12-31,2019-12-31,1259,25580937.51253585,0.5053303797895403,0.08530223760691125,0.17492208384907365,0.5562562999909425,-0.3176466327953317
